season,seasons_used,player,pWAR,rate,balls_eq,wb_ipl,wb_t20,bf,bb,source,rate_shrunk
2021,"2018,2019,2020",Josh Little,0.5283171842931961,-0.0773003477650649,79.05,0.0,527.0,,,T20I only,0.1452872256806289
2021,"2018,2019,2020",Josh Philippe,0.5977882982051612,0.1461131748513164,231.0,231.0,0.0,231.0,0.0,IPL only,0.16439178200641932
2021,"2018,2019,2020",Junior Dala,0.49647658539918754,-0.2764343518608058,57.45,18.0,263.0,0.0,18.0,IPL+T20I,0.13653106098477658
2021,"2018,2019,2020",KC Cariappa,0.448857982896866,-0.9729455196925484,30.0,30.0,0.0,6.0,24.0,IPL only,0.12343594529663816
2021,"2018,2019,2020",KL Rahul,1.2429534378403948,0.3807173843437334,3083.7,2847.0,1578.0,2847.0,0.0,IPL+T20I,0.3418121954061086
2021,"2018,2019,2020",KM Asif,0.5410524493361586,-0.2718774975467728,36.0,36.0,0.0,0.0,36.0,IPL only,0.1487894235674436
2021,"2018,2019,2020",Kagiso Rabada,0.5347410222321897,0.1389530809838039,2019.45,1929.0,603.0,177.0,1752.0,IPL+T20I,0.14705378111385214
2021,"2018,2019,2020",Kamlesh Nagarkoti,0.14092783803366787,-0.1255371740163942,561.0,561.0,0.0,93.0,468.0,IPL only,0.038755155459258665
2021,"2018,2019,2020",Kane Richardson,0.6186640436683569,0.1682842922703525,110.25,0.0,735.0,,,T20I only,0.17013261200879815
2021,"2018,2019,2020",Kane Williamson,0.9721831147784692,0.3088391167301187,1635.35,1523.0,749.0,1487.0,36.0,IPL+T20I,0.267350356564079
2021,"2018,2019,2020",Karim Janat,0.5386725137836063,-0.0159254872476586,95.1,0.0,634.0,,,T20I only,0.14813494129049173
2021,"2018,2019,2020",Karn Sharma,0.41797558173458166,0.0252520467012239,433.0,433.0,0.0,0.0,433.0,IPL only,0.11494328497700995
2021,"2018,2019,2020",Kartik Tyagi,0.10414610976204657,-0.1115412880755055,708.0,708.0,0.0,18.0,690.0,IPL only,0.028640180184562804
2021,"2018,2019,2020",Karun Nair,0.560133995755012,0.1123248071072373,275.0,275.0,0.0,275.0,0.0,IPL only,0.1540368488326283
2021,"2018,2019,2020",Kasun Rajitha,0.5185112914924423,-0.2633090207776446,48.0,0.0,320.0,,,T20I only,0.14259060516042163
2021,"2018,2019,2020",Kedar Jadhav,0.1886581438000172,-0.0968285319170365,558.0,558.0,0.0,558.0,0.0,IPL only,0.05188098954500473
2021,"2018,2019,2020",Keemo Paul,0.3785365048890325,0.012766116662555,508.35,384.0,829.0,48.0,336.0,IPL+T20I,0.10409753884448393
2021,"2018,2019,2020",Kesrick Williams,0.5210573644783293,-0.0969756763211975,79.05,0.0,527.0,,,T20I only,0.14329077523154055
2021,"2018,2019,2020",Kevin O'Brien,0.6595488136400428,0.218198887095805,208.2,0.0,1388.0,,,T20I only,0.18137592375101177
2021,"2018,2019,2020",Khaleel Ahmed,0.5186990972157072,0.1227821317963102,979.2,906.0,488.0,8.0,898.0,IPL+T20I,0.14264225173431946
