player,pWAR_final,pWAR,WAR_recent,team,role,salary,capped,overseas,auctionStatus,ipl_balls_wtd,t20i_balls_wtd,balls_eq,source,ipl_balls_faced,ipl_balls_bowled,bat_pos,bowl_phase,bowl_kind,bat_group,balls_recent,pWAR_base,chg,WAR
Rahul Chahar,0.319,0.32,0.32,MI,Bowler,1.9,0,0,retained,1557.4,0.0,1557.4,IPL+T20I,15.0,610.0,9.0,Powerplay+Middle+Death,spin bowler,Tail,1557.4,0.32,0.0,0.32
Hardik Pandya,1.028,1.03,1.03,MI,Allrounder,11.0,0,0,retained,1955.5,0.0,1955.5,IPL+T20I,562.0,539.0,6.0,Powerplay+Middle+Death,pace bowler,Lower,1955.5,1.03,0.0,1.03
Dhawal Kulkarni,0.205,0.21,0.21,MI,Bowler,0.75,0,0,retained,614.0,0.0,614.0,IPL only,12.0,365.0,9.5,Powerplay+Middle+Death,pace bowler,Tail,614.0,0.21,0.0,0.21
Anmolpreet Singh,0.0,0.0,0.0,MI,Batter,0.8,0,0,retained,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Aditya Tare,0.0,0.0,0.0,MI,WK-Batter,0.2,0,0,retained,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Rohit Sharma,0.953,0.95,0.95,MI,Batter,15.0,0,0,retained,1812.65,0.0,1812.65,IPL+T20I,790.0,0.0,2.0,,,Opener,1812.65,0.95,0.0,0.95
Saurabh Kumar,0.0,0.0,0.0,PBKS,Allrounder,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Fabian Allen,0.514,0.51,0.51,PBKS,Allrounder,0.75,0,1,sold,94.05,0.0,94.05,T20I only,0.0,0.0,,,,,94.05,0.51,0.0,0.51
Utkarsh Singh,0.0,0.0,0.0,PBKS,Bowler,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Jalaj Saxena,0.0,0.0,0.0,PBKS,Allrounder,0.3,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
