player,pWAR_final,pWAR,WAR_recent,team,role,salary,capped,overseas,auctionStatus,ipl_balls_wtd,t20i_balls_wtd,balls_eq,source,ipl_balls_faced,ipl_balls_bowled,bat_pos,bowl_phase,bowl_kind,bat_group,balls_recent,pWAR_base,chg,WAR
Kartik Tyagi,0.76,0.79,0.99,KKR,Bowler,0.3,0,0,sold,690,0,690,IPL only,9,237,9,Death+Middle+Powerplay,pace bowler,Tail,444,0.71,0.08,0.73
Suryansh Shedge,0.76,0.03,0.1,PBKS,Allrounder,0.3,0,0,retained,228,0,228,IPL only,67,19,6,Death+Middle,pace bowler,Lower,142,0,0.03,0
Nuwan Thushara,0.735,0.65,0.12,RCB,Bowler,1.6,1,1,retained,208,812,392.1853659,IPL+T20I,,183,,Death+Powerplay,pace bowler,,25,0.88,-0.23,0.82
Rovman Powell,0.73,0.77,0.73,KKR,Batter,1.5,1,1,retained,348,1213,623.1439024,IPL+T20I,163,,6,,,Lower,185,0.79,-0.02,0.69
Maheesh Theekshana,0.725,0.71,0.28,,Bowler,2,1,1,unsold,682,1951,1124.543902,IPL+T20I,27,374,9,Middle+Powerplay,spin bowler,Tail,281,0.89,-0.18,0.74
Jonny Bairstow,0.84,0.63,0.38,,WK-Batter,1,1,1,unsold,287,116,313.3121951,IPL+T20I,241,,2,,,Opener,46,0.74,-0.11,0.74
Ajinkya Rahane,0.685,0.79,1.29,KKR,Batter,1.5,1,0,retained,1219,0,1219,IPL only,625,,3,,,No3,594,0.57,0.22,0.58
Azmatullah Omarzai,0.685,0.69,0.4,PBKS,Allrounder,2.4,1,1,retained,566,1544,916.2243902,IPL+T20I,74,289,5,Death+Middle+Powerplay,pace bowler,Middle,203,0.81,-0.12,0.68
Jitesh Sharma,0.885,0.7,0.78,RCB,WK-Batter,11,1,0,retained,651,100,673.6829268,IPL+T20I,361,,6,,,Lower,290,0.67,0.03,0.67
Sandeep Sharma,0.675,0.54,-0.03,RR,Bowler,4,0,0,retained,978,0,978,IPL only,5,548,11,Death+Middle+Powerplay,pace bowler,Tail,425,0.79,-0.25,0.81
Shimron Hetmyer,0.615,0.65,0.58,RR,Batter,11,1,1,retained,604,983,826.9731707,IPL+T20I,302,,6,,,Lower,302,0.68,-0.03,0.58
Tushar Deshpande,0.615,0.57,0.37,RR,Bowler,6.5,1,0,retained,1093,36,1101.165854,IPL only,23,602,10,Death+Middle+Powerplay,pace bowler,Tail,468,0.65,-0.08,0.66
Corbin Bosch,0.995,0.63,0.46,MI,Allrounder,0.75,1,1,retained,343,1315,641.2804878,IPL+T20I,41,98,8,Death+Middle,pace bowler,Lower,204,0.7,-0.07,0.58
Mukul Choudhary,0.595,0.65,0.93,LSG,WK-Batter,2.6,0,0,sold,321,0,321,IPL only,107,,7,,,Lower,214,0.53,0.12,0.54
Yuzvendra Chahal,0.84,0.64,0.9,PBKS,Bowler,18,1,0,retained,1438,0,1438,IPL only,,802,,Death+Middle,spin bowler,,636,0.53,0.11,0.54
Vijaykumar Vyshak,0.585,-0.36,-0.28,PBKS,Bowler,1.8,0,0,retained,815,0,815,IPL only,7,359,9,Death+Middle,pace bowler,Tail,449,-0.4,0.04,-0.41
Ruturaj Gaikwad,0.76,0.29,0.09,CSK,Batter,18,1,0,retained,1283,84,1302.053659,IPL only,730,,2,,,Opener,553,0.37,-0.08,0.37
Marco Jansen,0.78,0.66,0.79,PBKS,Allrounder,7,1,1,retained,1593,1286,1884.702439,IPL+T20I,114,583,8,Death+Middle+Powerplay,pace bowler,Lower,896,0.6,0.06,0.49
Jaydev Unadkat,0.555,0.55,0.54,SRH,Bowler,1,1,0,retained,739,0,739,IPL only,29,407,10,Death+Middle+Powerplay,pace bowler,Tail,303,0.55,0,0.56
Harshit Rana,0.61,0.54,0.51,KKR,Bowler,4,1,0,retained,891,525,1010.085366,IPL+T20I,53,519,9,Death+Middle+Powerplay,pace bowler,Tail,319,0.55,-0.01,0.52
Vipraj Nigam,0.53,0.53,0.55,DC,Bowler,0.5,0,0,retained,829,0,829,IPL only,89,293,7,Middle+Powerplay,spin bowler,Lower,447,0.52,0.01,0.53
M Shahrukh Khan,0.52,0.52,0.23,GT,Allrounder,4,0,0,retained,398,0,398,IPL (war_final),208,18,7,,spin bowler,Lower,172,0.52,0,0.52
Romario Shepherd,0.572,-0.4,-0.36,RCB,Allrounder,1.5,1,1,retained,870,1951,1312.543902,IPL+T20I,111,277,7,Death+Middle,pace bowler,Lower,482,-0.42,0.02,-0.61
AM Ghazanfar,0.968,0.56,0.85,MI,Bowler,4.8,1,1,retained,573,136,603.8487805,IPL+T20I,,191,,Death+Middle+Powerplay,spin bowler,,382,0.43,0.13,0.43
Mitchell Starc,0.611,0.31,0.24,DC,Bowler,11.75,1,1,retained,1020,151,1054.25122,IPL+T20I,23,572,9,Death+Powerplay,pace bowler,Tail,425,0.34,-0.03,0.33
Jamie Smith,0.485,0.03,0,,WK-Batter,2,1,1,unsold,0,134,30.39512195,T20I only,,,,,,,,0.04,-0.01,0.03
Lhuan-dre Pretorius,0.751,-0.01,-0.04,RR,WK-Batter,0.3,1,1,retained,6,342,83.57560976,T20I only,2,,4,,,Middle,4,0.01,-0.02,-0.01
Jacob Duffy,0.6,0.5,0.33,RCB,Bowler,2,1,1,sold,219,1567,574.4414634,IPL+T20I,,73,,Death+Middle+Powerplay,pace bowler,,146,0.58,-0.08,0.41
