player,bf,v_bat,rate_bat,bb,v_bowl,rate_bowl,balls,VORP,rate,WAR_cum,wballs,WAR,target,t_years,is_mega
Khaleel Ahmed,12.0,-20.06592725786721,-1.6721606048222675,1188.0,251.48432518040693,0.21168714240774994,1200.0,231.41839792253973,0.19284866493544978,2.8050714899701785,1200.0,0.7012678724925446,2023,2,False
Abhishek Sharma,1166.0,273.4872877178829,0.2345517047323181,252.0,-2.110340445776373,-0.00837436684831894,1418.0,271.3769472721065,0.1913800756502867,3.2894175426922003,1418.0,0.6959275478192244,2023,2,False
Mustafizur Rahman,43.0,-14.544327647363566,-0.33824017784566435,1202.0,251.84023954162504,0.2095176701677413,1245.0,237.29591189426148,0.19059912601948714,2.8763140835668057,1245.0,0.6930877309799532,2023,2,False
Chetan Sakariya,50.0,-23.094721599816253,-0.46189443199632507,830.0,190.05580580515613,0.22898289856042905,880.0,166.9610842053399,0.18972850477879533,2.0237707176404833,880.0,0.6899218355592557,2023,2,False
Josh Hazlewood,78.0,-32.4261524959053,-0.4157199037936577,1317.0,294.7355011624313,0.22379309123950747,1395.0,262.30934866652603,0.1880353753881907,3.179507256563952,1395.0,0.6837650014116026,2023,2,False
Ripal Patel,63.0,8.417366127263344,0.1336089861470372,36.0,9.658232035675052,0.2682842232131959,99.0,18.075598162938398,0.1825817996256404,0.21909815955076847,99.0,0.6639338168205104,2023,2,False
Rovman Powell,501.0,110.24149073367832,0.22004289567600463,18.0,-16.9722118306758,-0.9429006572597667,519.0,93.26927890300252,0.17970959326204725,1.130536713975788,519.0,0.6534894300438082,2023,2,False
Bhuvneshwar Kumar,140.0,-31.006780880929206,-0.22147700629235148,1535.0,331.963849849457,0.2162630943644671,1675.0,300.9570689685278,0.17967586207076286,3.6479644723457914,1675.0,0.6533667711664104,2023,2,False
Mahipal Lomror,371.0,85.39881991090292,0.23018549841213723,120.0,1.7235496843777067,0.014362914036480889,491.0,87.12236959528062,0.17743863461360615,1.0560287223670377,491.0,0.6452313985949315,2023,2,False
Mukesh Choudhary,18.0,3.6298524884155334,0.20165847157864075,819.0,144.53029641024193,0.17647166838857378,837.0,148.16014889865747,0.1770133200700806,1.7958805927109995,837.0,0.6436848002548385,2023,2,False
Ravichandran Ashwin,523.0,83.44792733017692,0.159556266405692,2053.0,363.79432765997365,0.17720132862151663,2576.0,447.24225499015057,0.17361888780673548,5.421118242304855,2576.0,0.6313414102063108,2023,2,False
Yash Dayal,3.0,-2.6957527609093908,-0.8985842536364635,585.0,102.61422728339697,0.17540893552717432,588.0,99.91847452248759,0.16992937843960473,1.211133024515001,588.0,0.6179250125076536,2023,2,False
Jason Holder,329.0,44.15945547258571,0.1342232689136344,1297.0,231.83090894978181,0.17874395447168992,1626.0,275.9903644223675,0.1697357714774708,3.345337750574152,1626.0,0.6172209871908029,2023,2,False
Shivam Dube,1046.0,275.7077247230754,0.26358291082511986,150.0,-73.75677778652918,-0.49171185191019456,1196.0,201.9509469365462,0.16885530680313227,2.4478902658975294,1196.0,0.6140192974659355,2023,2,False
